descripcion_item,repeticiones,os_ids,keyword,candidatos_catalogo
ceolitas,4,28472 | 28667 | 28670 | 28766,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
canister,3,28616 | 28676 | 28706,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
baterías,2,28603 | 28638,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
compresor,2,28500 | 28676,compresor,1510001 - Compresor compatible c/conc. G3 SP-509 (costo:2400750.00) || 1510003 - Kit de compresor compatible c/conc. G4 SP-709 (costo:2400750.00) || SP709 - Kit de compresor p/Inogen At Home (costo:2109750.00) || ME-020 - COMPRESOR COMPLETO LONGFIAN JAY-5 (costo:138225.00) || PS-025 - COMPRESOR COMPLETO LONGFIAN JAY-5Q (costo:116400.00) || ME-046 - COMPRESOR 12V COMPLETO MOVI VAC (costo:92683.50) || SP818 - KIT S/CAMISAS COMPRESOR THOMAS 2650 (GRANDES) (costo:48015.00) || 1510002 - Kit de compresor p/Inogen At Home SP-615 (costo:43577.25)
placa,2,28615 | 28784,placa,1502004 - PLACA DE CONTROL G3 A20 PARA BMC (costo:484995.15) || SP814 - PLACA DE CONTROL B-25S (costo:349200.00) || 1502007 - Placa CPU P/PB560 REF. 10108397 (costo:310395.15) || 1502005 - PLACA PRINCIPAL G3 B30VT PARA BMC (costo:242504.85) || SC-101 - PLACA PRINCIPAL BPAP 25A & 25T (costo:242504.85) || SC-104 - PLACA PRINCIPAL BPAP 30T (costo:242504.85) || SP700 - Placa base G4 (costo:203000.00) || 1502002 - PLACA DE CONTROL G2S A20 (costo:184304.85)
vacuómetro,2,28638 | 28788,vacuometro,"IN-001 - Vacuómetro diámetro 52MM Fij. Frontal (costo:39285.00) || IN002 - Vacuómetro diametro 50mm p/aspirador SILFAB (costo:29100.00) || ET-021 - Etiqueta A-220 SEPID (Tapa vacuómetro) (costo:0.00) || MP-032 - Conector hembra p/vacuometro 1/8 a macho 3/16 (costo:0.00) || PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (costo:0.00) || PS-059 - Soporte vacuometro Wika (costo:0.00)"
bate´rias,1,28781,"",""
baterísa,1,28782,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
botón plástico,1,28711,boton,"SC-108 - LLAVE ENCENDIDO LONGFIAN JA5-5/JAY-5Q (costo:1455.00) || 1506001 - Teclado PB560 (costo:0.00) || 1516005 - Llave cónica p/montaje de comp. específ. Magnamed (costo:0.00) || CI-006 - Circuito impreso llave de encendido (costo:0.00) || ME-008 - Llave interrup. bisal boton frontal (costo:0.00) || ME-017 - Llave de encendido bipolar rectangular (costo:0.00) || ME-027 - LLAVE REDONDA C/LUZ UNIPOLAR (costo:0.00) || ME-082 - PILA BOTON RECARGABLE LIR2450 3,6V (costo:0.00)"
cable,1,28918,cable,MP-042 - MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA (costo:9166.50) || SC-102 - CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR (costo:8730.00) || ME-043 - CABLE DOBLE8 (costo:2910.00) || 1213045 - Cable paciente Electrobisturí KAIROS MX-1 (costo:0.00) || 1213046 - Cable paciente ECG 10 deriv. FUKUDA Denshi FX-7102 (costo:0.00) || 1223006 - Cable de presión invasiva PI-BD (costo:0.00) || 1223007 - Cable de presión invasiva PI-EDWARD (costo:0.00) || 1223008 - Cable paciente ECG 10 deriv. compatible EDAN (costo:0.00)
cable kit,1,28790,cable,MP-042 - MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA (costo:9166.50) || SC-102 - CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR (costo:8730.00) || ME-043 - CABLE DOBLE8 (costo:2910.00) || 1213045 - Cable paciente Electrobisturí KAIROS MX-1 (costo:0.00) || 1213046 - Cable paciente ECG 10 deriv. FUKUDA Denshi FX-7102 (costo:0.00) || 1223006 - Cable de presión invasiva PI-BD (costo:0.00) || 1223007 - Cable de presión invasiva PI-EDWARD (costo:0.00) || 1223008 - Cable paciente ECG 10 deriv. compatible EDAN (costo:0.00)
cambio ceoltias,1,28617,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
cambio de ceolitas,1,28672,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
canister + válvulas,1,28705,zeolita,1504003 - Canister zeolita p/Inogen At Home SP-605 (costo:654750.00) || 1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (costo:385575.00) || 1504006 - CANISTER CEOLITA LONGFIAN JAY-10 (costo:240075.00) || 1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (costo:130950.00) || 1503001 - Tamiz molecular p/recarga de zeolita (costo:145.50) || 1503002 - CANISTER INOGEN G4 (costo:0.00) || 1504001 - Canister Everflo (costo:0.00) || 1504005 - Canister zeolita LONGFIAN JAY-5AW (costo:0.00)
canula,1,28918,canula,DIR-17 - Pasacánulas cristal x 2 PC-305 (costo:21825.00) || R25266 - Pasacánulas angular PC-307 (costo:14550.00)
capacitor,1,28704,capacitor,"1521001 - CAPACITORES 8uf (costo:0.00) || 1521002 - CAPACITORES 10uf (costo:0.00) || CP-001 - Capacitor electrolítico 220 UF 50V (costo:0.00) || CP-002 - Capacitor electrolítico 2,2 UF 50V (costo:0.00) || CP-003 - Capacitor electrolítico 47UF x 35V (costo:0.00) || CP-004 - Capacitor electrolítico 100UF x 35V (costo:0.00) || CP-005 - CAPACITOR CERAMICO 0,1uF X 50V (costo:0.00) || CP-006 - Capacitor de arranque 10uF X 450 V (costo:0.00)"
ce0olitas,1,28673,"",""
costo,1,28178,"",""
descuento,1,28615,"",""
pack baterías,1,28612,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
pila,1,28757,bateria,"1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (costo:4980930.60) || 1509002 - Batería de 8 celdas Inogen One G4 BA-408 (costo:2109750.00) || DIR-02C - Filtro de aire (Pack x 4)PC-305 (costo:436500.00) || ME-081 - BATERIA 6V 2,9 A/H (costo:46560.00) || ME-041 - BATERÍA GEL 6V 4AH (costo:43650.00) || PS-039 - SOPORTE INTERNO BATERIA/MOTOR (costo:2910.00) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (costo:0.00) || 1204004 - Jarra para aspirador a batería KONSUNG (costo:0.00)"
repuestos,1,26362,"",""
revisión,1,28178,"",""
